antiguedad_meses,monto_mensual,soporte_tecnico_clicks,tipo_contrato,metodo_pago,gasto_por_mes,indice_insatisfaccion,score_fidelidad,churn,antiguedad_meses_norm,monto_mensual_norm,soporte_tecnico_clicks_norm
39,259.28,33.0,Mensual,Tarjeta de Crédito,0.8892,49.5,17.4,1,0.3193,0.4984,0.66
36,398.92,20.0,Mensual,Tarjeta de Crédito,10.7816,30.0,19.2,0,0.2941,0.7895,0.4
18,259.28,12.0,Bianual,Pago Manual,13.3342,12.0,9.0,0,0.1429,0.4984,0.24
120,92.86,12.0,Anual,Pago Manual,0.7674,12.0,80.4,0,1.0,0.1516,0.24
37,464.45,37.0,Anual,Pago Manual,12.2224,37.0,14.8,0,0.3025,0.926,0.74
76,42.01,39.0,Mensual,Débito Automático,0.5456,58.5,41.5,1,0.6303,0.0457,0.78
42,497.02,43.0,Mensual,Tarjeta de Crédito,11.5586,64.5,16.5,0,0.3445,0.9939,0.86
48,33.4,32.0,Mensual,Tarjeta de Crédito,0.6816,48.0,24.0,0,0.395,0.0277,0.64
87,463.1,30.0,Anual,Débito Automático,5.2625,30.0,51.9,1,0.7227,0.9232,0.6
79,383.61,38.0,Anual,Débito Automático,4.7951,38.0,43.9,0,0.6555,0.7575,0.76
93,157.98,25.0,Anual,Tarjeta de Crédito,1.6806,37.0,54.0,1,0.7731,0.2873,0.5
24,115.92,15.0,Bianual,Tarjeta de Crédito,4.6368,15.0,12.3,0,0.1933,0.1997,0.3
87,241.43,31.0,Anual,Débito Automático,2.7435,31.0,51.6,1,0.7227,0.4612,0.62
66,99.4,11.0,Mensual,Tarjeta de Crédito,1.4836,16.5,42.9,0,0.5462,0.1653,0.22
59,259.28,32.0,Mensual,Tarjeta de Crédito,1.1625,48.0,31.7,1,0.4874,0.4984,0.64
120,212.78,47.0,Bianual,Débito Automático,1.7585,47.0,69.9,0,1.0,0.4015,0.94
21,91.6,7.0,Anual,Débito Automático,4.1636,7.0,12.6,0,0.1681,0.149,0.14
69,42.62,20.0,Mensual,Pago Manual,0.6089,30.0,42.3,0,0.5714,0.0469,0.4
92,480.09,36.0,Mensual,Débito Automático,5.1623,54.0,53.6,0,0.7647,0.9586,0.72
60,31.77,32.0,Mensual,Tarjeta de Crédito,0.5208,48.0,32.4,0,0.4958,0.0243,0.64
35,473.14,43.0,Anual,Tarjeta de Crédito,13.1428,43.0,11.6,1,0.2857,0.9441,0.86
88,384.3,24.0,Bianual,Tarjeta de Crédito,4.318,24.0,54.4,1,0.7311,0.759,0.48
6,95.09,34.0,Anual,Débito Automático,13.5843,34.0,-6.0,0,0.042,0.1563,0.68
87,162.0,38.0,Bianual,Débito Automático,1.8409,38.0,49.5,1,0.7227,0.2957,0.76
25,191.82,25.0,Mensual,Pago Manual,7.3777,37.5,10.0,0,0.2017,0.3579,0.5
111,213.75,16.0,Bianual,Pago Manual,1.9085,16.0,72.9,0,0.9244,0.4036,0.32
92,183.72,39.0,Mensual,Tarjeta de Crédito,1.9755,58.5,52.7,0,0.7647,0.341,0.78
17,259.28,5.0,Mensual,Débito Automático,5.4461,7.5,10.4,0,0.1345,0.4984,0.1
100,203.1,25.0,Mensual,Débito Automático,2.0109,58.5,58.3,1,0.8319,0.3814,0.5
100,221.83,13.0,Anual,Tarjeta de Crédito,2.1963,13.0,66.1,0,0.8319,0.4204,0.26
27,25.64,14.0,Mensual,Pago Manual,0.9157,21.0,14.7,0,0.2185,0.0115,0.28
100,433.81,33.0,Mensual,Pago Manual,4.2951,33.0,60.1,1,0.8319,0.8622,0.66
19,334.83,28.0,Anual,Débito Automático,16.7415,28.0,4.9,1,0.1513,0.6559,0.56
117,164.35,27.0,Bianual,Débito Automático,1.3928,27.0,73.8,0,0.9748,0.3006,0.54
97,354.56,25.0,Anual,Tarjeta de Crédito,3.618,34.0,57.7,1,0.8067,0.697,0.5
65,149.15,35.0,Anual,Tarjeta de Crédito,2.2598,35.0,35.0,0,0.5378,0.2689,0.7
97,470.02,47.0,Mensual,Pago Manual,4.7961,70.5,53.8,0,0.8067,0.9376,0.94
2,307.77,11.0,Anual,Débito Automático,102.59,11.0,-1.9,1,0.0084,0.5995,0.22
32,151.4,44.0,Bianual,Débito Automático,4.5879,44.0,9.2,1,0.2605,0.2736,0.88
78,313.63,47.0,Anual,Tarjeta de Crédito,3.97,47.0,40.5,1,0.6471,0.6117,0.94
96,182.78,6.0,Anual,Tarjeta de Crédito,1.8843,6.0,65.4,0,0.7983,0.339,0.12
26,259.28,11.0,Anual,Débito Automático,1.7326,11.0,14.9,0,0.2101,0.4984,0.22
48,253.9,15.0,Mensual,Débito Automático,5.1816,22.5,29.1,0,0.395,0.4872,0.3
1,75.47,49.0,Bianual,Tarjeta de Crédito,37.735,49.0,-14.0,0,0.0,0.1154,0.98
93,436.59,25.0,Anual,Pago Manual,4.6446,15.0,60.6,0,0.7731,0.868,0.5
36,318.57,22.0,Mensual,Tarjeta de Crédito,8.61,33.0,18.6,0,0.2941,0.622,0.44
49,42.01,27.0,Bianual,Pago Manual,0.8402,27.0,26.2,1,0.4034,0.0457,0.54
80,68.54,41.0,Mensual,Tarjeta de Crédito,0.8462,61.5,43.7,1,0.6639,0.1009,0.82
43,243.01,7.0,Anual,Tarjeta de Crédito,5.523,7.0,28.0,1,0.3529,0.4645,0.14
86,397.17,22.0,Anual,Débito Automático,4.5652,22.0,53.6,0,0.7143,0.7858,0.44
74,294.45,32.0,Mensual,Pago Manual,3.926,48.0,42.2,1,0.6134,0.5717,0.64
109,156.83,25.0,Bianual,Tarjeta de Crédito,1.4257,23.0,69.4,0,0.9076,0.2849,0.5
36,355.63,20.0,Mensual,Pago Manual,9.6116,30.0,19.2,0,0.2941,0.6992,0.4
48,299.42,22.0,Anual,Pago Manual,6.1106,22.0,27.0,1,0.395,0.5821,0.44
43,382.73,13.0,Mensual,Pago Manual,8.6984,19.5,26.2,0,0.3529,0.7557,0.26
66,423.81,50.0,Mensual,Débito Automático,6.3255,75.0,31.2,1,0.5462,0.8413,1.0
84,314.53,16.0,Anual,Débito Automático,3.7004,16.0,54.0,0,0.6975,0.6136,0.32
48,234.82,45.0,Mensual,Débito Automático,4.7922,67.5,20.1,1,0.395,0.4475,0.9
27,441.51,1.0,Mensual,Débito Automático,15.7682,1.5,18.6,1,0.2185,0.8782,0.02
113,153.9,20.0,Anual,Tarjeta de Crédito,1.35,20.0,73.1,0,0.9412,0.2788,0.4
28,199.47,11.0,Mensual,Débito Automático,6.8783,16.5,16.3,1,0.2269,0.3738,0.22
117,304.63,32.0,Mensual,Débito Automático,2.5816,48.0,72.3,1,0.9748,0.593,0.64
59,243.94,2.0,Mensual,Débito Automático,4.0657,3.0,40.7,1,0.4874,0.4665,0.04
81,63.12,10.0,Bianual,Tarjeta de Crédito,0.7698,10.0,53.7,1,0.6723,0.0897,0.2
26,497.88,25.0,Bianual,Débito Automático,18.44,47.0,4.1,1,0.2101,0.9957,0.5
100,404.75,19.0,Mensual,Pago Manual,4.0074,28.5,64.3,0,0.8319,0.8016,0.38
76,378.4,24.0,Anual,Débito Automático,4.9143,24.0,46.0,0,0.6303,0.7467,0.48
17,253.91,25.0,Anual,Débito Automático,14.1061,25.0,4.4,0,0.1345,0.4873,0.5
84,259.28,40.0,Mensual,Tarjeta de Crédito,4.4634,60.0,46.8,0,0.6975,0.4984,0.8
103,224.76,24.0,Mensual,Tarjeta de Crédito,2.1612,36.0,64.9,0,0.8571,0.4265,0.48
104,192.26,45.0,Bianual,Pago Manual,1.831,45.0,59.3,0,0.8655,0.3588,0.9
94,235.95,25.0,Bianual,Débito Automático,2.4837,38.0,54.4,1,0.7815,0.4498,0.5
63,398.35,29.0,Mensual,Débito Automático,6.2242,43.5,35.4,1,0.521,0.7883,0.58
45,259.28,18.0,Mensual,Débito Automático,8.8076,27.0,26.1,0,0.3697,0.4984,0.36
13,189.0,25.0,Mensual,Pago Manual,13.5,10.5,7.0,0,0.1008,0.352,0.5
73,259.28,1.0,Mensual,Débito Automático,3.9323,1.5,50.8,0,0.605,0.4984,0.02
119,231.79,4.0,Anual,Débito Automático,1.9316,4.0,82.1,1,0.9916,0.4412,0.08
25,478.57,6.0,Bianual,Tarjeta de Crédito,18.4065,6.0,15.7,1,0.2017,0.9554,0.12
97,392.94,19.0,Mensual,Débito Automático,4.0096,28.5,62.2,1,0.8067,0.777,0.38
74,259.28,29.0,Mensual,Tarjeta de Crédito,0.4332,43.5,43.1,0,0.6134,0.4984,0.58
81,195.74,5.0,Mensual,Pago Manual,2.3871,7.5,55.2,1,0.6723,0.366,0.1
63,487.9,27.0,Anual,Débito Automático,7.6234,27.0,36.0,0,0.521,0.9749,0.54
22,413.51,8.0,Mensual,Débito Automático,17.9787,12.0,13.0,1,0.1765,0.8199,0.16
113,20.98,29.0,Anual,Débito Automático,0.184,29.0,70.4,1,0.9412,0.0018,0.58
107,362.96,18.0,Mensual,Débito Automático,3.3607,18.0,69.5,0,0.8908,0.7145,0.36
67,334.09,40.0,Mensual,Débito Automático,4.9131,60.0,34.9,1,0.5546,0.6544,0.8
29,339.83,14.0,Anual,Débito Automático,11.3277,14.0,16.1,0,0.2353,0.6663,0.28
71,214.84,43.0,Mensual,Tarjeta de Crédito,2.9839,64.5,36.8,0,0.5882,0.4058,0.86
51,217.25,32.0,Anual,Pago Manual,4.1779,32.0,26.1,0,0.4202,0.4109,0.64
100,369.82,14.0,Mensual,Pago Manual,3.6616,21.0,65.8,1,0.8319,0.7288,0.28
13,205.74,32.0,Anual,Débito Automático,14.6957,32.0,-0.5,0,0.1008,0.3869,0.64
8,135.41,3.0,Mensual,Tarjeta de Crédito,15.0456,4.5,4.7,1,0.0588,0.2403,0.06
8,96.99,25.0,Bianual,Tarjeta de Crédito,10.7767,25.0,-1.9,1,0.0588,0.1602,0.5
51,144.2,47.0,Anual,Débito Automático,2.7731,47.0,21.6,0,0.4202,0.2586,0.94
17,444.76,6.0,Mensual,Tarjeta de Crédito,24.7089,9.0,10.1,0,0.1345,0.885,0.12
22,130.34,44.0,Mensual,Pago Manual,5.667,66.0,2.2,1,0.1765,0.2297,0.88
38,401.67,32.0,Mensual,Pago Manual,10.2992,32.0,17.0,0,0.3109,0.7952,0.64
71,155.07,19.0,Bianual,Tarjeta de Crédito,2.1538,19.0,44.0,1,0.5882,0.2813,0.38
39,128.64,17.0,Mensual,Tarjeta de Crédito,3.216,25.5,22.2,1,0.3193,0.2262,0.34
7,316.9,19.0,Mensual,Tarjeta de Crédito,39.6125,28.5,-0.8,0,0.0504,0.6185,0.38
5,473.78,13.0,Mensual,Débito Automático,78.9633,19.5,-0.4,0,0.0336,0.9455,0.26
87,259.28,14.0,Mensual,Pago Manual,1.9741,21.0,56.7,1,0.7227,0.4984,0.28
85,345.73,49.0,Mensual,Tarjeta de Crédito,4.0201,73.5,44.8,0,0.7059,0.6786,0.98
21,145.61,17.0,Mensual,Débito Automático,6.6186,25.5,9.6,0,0.1681,0.2616,0.34
31,116.45,5.0,Mensual,Débito Automático,3.6391,7.5,20.2,0,0.2521,0.2008,0.1
89,194.65,23.0,Mensual,Pago Manual,2.1628,34.5,55.4,0,0.7395,0.3638,0.46
11,257.18,43.0,Mensual,Tarjeta de Crédito,21.4317,64.5,-5.2,1,0.084,0.4941,0.86
52,163.82,31.0,Anual,Pago Manual,3.0909,31.0,27.1,0,0.4286,0.2995,0.62
111,146.2,31.0,Mensual,Pago Manual,1.3054,46.5,68.4,0,0.9244,0.2628,0.62
9,335.9,34.0,Bianual,Pago Manual,33.59,34.0,-3.9,1,0.0672,0.6581,0.68
28,499.95,19.0,Mensual,Tarjeta de Crédito,17.2397,28.5,13.9,1,0.2269,1.0,0.38
76,170.11,9.0,Mensual,Débito Automático,2.2092,13.5,50.5,1,0.6303,0.3126,0.18
13,391.37,44.0,Bianual,Débito Automático,27.955,44.0,-4.1,1,0.1008,0.7737,0.88
26,47.13,3.0,Anual,Débito Automático,1.7456,3.0,17.3,1,0.2101,0.0563,0.06
107,430.18,5.0,Mensual,Débito Automático,3.9831,7.5,73.4,0,0.8908,0.8546,0.1
76,203.62,25.0,Anual,Débito Automático,2.6444,0.0,53.2,0,0.6303,0.3825,0.5
77,54.6,12.0,Anual,Débito Automático,0.7,12.0,50.3,0,0.6387,0.0719,0.24
109,53.99,36.0,Anual,Débito Automático,0.4908,36.0,65.5,0,0.9076,0.0706,0.72
20,148.23,24.0,Mensual,Tarjeta de Crédito,7.0586,36.0,6.8,0,0.1597,0.267,0.48
57,281.8,41.0,Anual,Débito Automático,4.8586,41.0,27.6,0,0.4706,0.5454,0.82
19,412.28,15.0,Mensual,Débito Automático,20.614,22.5,8.8,1,0.1513,0.8173,0.3
41,318.34,19.0,Bianual,Débito Automático,7.5795,19.0,23.0,1,0.3361,0.6215,0.38
107,218.39,13.0,Mensual,Débito Automático,2.0221,19.5,71.0,0,0.8908,0.4132,0.26
28,355.12,0.0,Bianual,Débito Automático,12.2455,0.0,19.6,1,0.2269,0.6982,0.0
111,465.65,13.0,Mensual,Pago Manual,4.1576,19.5,73.8,0,0.9244,0.9285,0.26
118,338.57,17.0,Mensual,Tarjeta de Crédito,2.8451,25.5,77.5,1,0.9832,0.6637,0.34
23,183.88,46.0,Mensual,Tarjeta de Crédito,7.6617,69.0,2.3,0,0.1849,0.3413,0.92
62,474.66,39.0,Mensual,Débito Automático,7.5343,58.5,31.7,1,0.5126,0.9473,0.78
73,394.83,15.0,Anual,Tarjeta de Crédito,5.3355,15.0,46.6,0,0.605,0.7809,0.3
67,282.57,39.0,Mensual,Tarjeta de Crédito,4.1554,58.5,35.2,0,0.5546,0.547,0.78
16,23.98,9.0,Bianual,Pago Manual,1.4106,9.0,8.5,0,0.1261,0.0081,0.18
10,366.61,24.0,Mensual,Tarjeta de Crédito,33.3282,36.0,-0.2,1,0.0756,0.7221,0.48
48,37.54,23.0,Anual,Débito Automático,0.7661,23.0,26.7,1,0.395,0.0363,0.46
87,308.4,2.0,Mensual,Débito Automático,3.5045,3.0,60.3,0,0.7227,0.6008,0.04
93,359.02,31.0,Mensual,Tarjeta de Crédito,3.8194,46.5,55.8,1,0.7731,0.7063,0.62
90,492.19,0.0,Mensual,Tarjeta de Crédito,5.4087,0.0,63.0,1,0.7479,0.9838,0.0
20,364.0,29.0,Anual,Pago Manual,17.3333,29.0,5.3,0,0.1597,0.7167,0.58
15,259.28,24.0,Anual,Débito Automático,13.0194,24.0,3.3,1,0.1176,0.4984,0.48
90,336.85,40.0,Bianual,Pago Manual,3.7016,40.0,51.0,0,0.7479,0.6601,0.8
96,198.23,26.0,Mensual,Tarjeta de Crédito,2.0436,39.0,59.4,0,0.7983,0.3712,0.52
21,269.22,14.0,Anual,Tarjeta de Crédito,12.2373,14.0,10.5,0,0.1681,0.5192,0.28
39,287.34,9.0,Mensual,Pago Manual,7.1835,13.5,24.6,1,0.3193,0.5569,0.18
65,248.16,14.0,Anual,Débito Automático,3.76,14.0,41.3,1,0.5378,0.4753,0.28
88,141.64,4.0,Bianual,Pago Manual,1.5915,4.0,60.4,1,0.7311,0.2533,0.08
114,145.81,15.0,Anual,Tarjeta de Crédito,1.2679,15.0,75.3,1,0.9496,0.262,0.3
28,40.08,34.0,Anual,Tarjeta de Crédito,1.3821,34.0,9.4,1,0.2269,0.0416,0.68
82,289.56,25.0,Anual,Pago Manual,3.4887,14.0,53.2,1,0.6807,0.5616,0.5
5,127.72,36.0,Mensual,Débito Automático,21.2867,54.0,-7.3,1,0.0336,0.2243,0.72
69,221.7,7.0,Anual,Pago Manual,3.1671,7.0,46.2,0,0.5714,0.4201,0.14
91,75.82,7.0,Anual,Débito Automático,0.8241,7.0,61.6,0,0.7563,0.1161,0.14
46,138.37,17.0,Mensual,Tarjeta de Crédito,2.944,25.5,27.1,1,0.3782,0.2465,0.34
41,350.15,50.0,Anual,Tarjeta de Crédito,8.3369,50.0,13.7,1,0.3361,0.6878,1.0
105,115.98,25.0,Bianual,Débito Automático,1.0942,35.0,63.0,0,0.8739,0.1998,0.5
69,270.76,45.0,Bianual,Pago Manual,3.868,45.0,34.8,0,0.5714,0.5224,0.9
100,488.75,1.0,Mensual,Pago Manual,4.8391,1.5,69.7,0,0.8319,0.9767,0.02
10,495.41,2.0,Mensual,Pago Manual,45.0373,3.0,6.4,0,0.0756,0.9905,0.04
17,403.6,20.0,Anual,Débito Automático,22.4222,20.0,5.9,0,0.1345,0.7992,0.4
98,488.84,25.0,Mensual,Tarjeta de Crédito,4.9378,15.0,65.6,0,0.8151,0.9768,0.5
118,245.58,36.0,Anual,Pago Manual,2.0637,36.0,71.8,0,0.9832,0.4699,0.72
114,37.22,13.0,Mensual,Tarjeta de Crédito,0.3237,19.5,75.9,0,0.9496,0.0357,0.26
95,231.37,29.0,Bianual,Débito Automático,2.4101,29.0,57.8,0,0.7899,0.4403,0.58
60,456.86,16.0,Mensual,Tarjeta de Crédito,7.4895,24.0,37.2,1,0.4958,0.9102,0.32
14,179.42,48.0,Mensual,Pago Manual,11.9613,72.0,-4.6,1,0.1092,0.332,0.96
34,461.93,11.0,Mensual,Pago Manual,13.198,16.5,20.5,1,0.2773,0.9208,0.22
17,334.33,38.0,Mensual,Débito Automático,18.5739,57.0,0.5,0,0.1345,0.6549,0.76
34,376.62,7.0,Anual,Tarjeta de Crédito,10.7606,7.0,21.7,1,0.2773,0.743,0.14
53,448.21,20.0,Anual,Tarjeta de Crédito,8.3002,20.0,31.1,1,0.437,0.8922,0.4
28,272.66,33.0,Bianual,Débito Automático,9.4021,33.0,9.7,1,0.2269,0.5263,0.66
9,273.32,2.0,Mensual,Débito Automático,27.332,3.0,5.7,0,0.0672,0.5277,0.04
92,227.18,46.0,Mensual,Débito Automático,2.4428,69.0,50.6,0,0.7647,0.4316,0.92
28,155.06,28.0,Mensual,Pago Manual,5.3469,42.0,11.2,0,0.2269,0.2813,0.56
82,401.59,1.0,Bianual,Tarjeta de Crédito,4.8384,1.0,57.1,0,0.6807,0.795,0.02
68,325.15,49.0,Bianual,Pago Manual,4.7123,49.0,32.9,0,0.563,0.6357,0.98
110,93.6,24.0,Mensual,Tarjeta de Crédito,0.8432,36.0,69.8,1,0.916,0.1532,0.48
94,204.78,49.0,Bianual,Débito Automático,2.1556,49.0,51.1,1,0.7815,0.3849,0.98
103,436.9,10.0,Anual,Débito Automático,4.201,10.0,69.1,0,0.8571,0.8686,0.2
42,83.47,28.0,Anual,Tarjeta de Crédito,1.9412,28.0,21.0,1,0.3445,0.1321,0.56
36,130.14,45.0,Bianual,Pago Manual,3.5173,45.0,11.7,0,0.2941,0.2293,0.9
102,390.22,44.0,Mensual,Tarjeta de Crédito,3.7885,66.0,58.2,0,0.8487,0.7713,0.88
111,68.42,42.0,Mensual,Pago Manual,0.6109,63.0,65.1,0,0.9244,0.1007,0.84
85,467.98,14.0,Mensual,Tarjeta de Crédito,5.4416,21.0,55.3,0,0.7059,0.9334,0.28
38,320.81,31.0,Anual,Débito Automático,8.2259,31.0,17.3,0,0.3109,0.6267,0.62
120,426.19,30.0,Mensual,Tarjeta de Crédito,3.5222,45.0,75.0,0,1.0,0.8463,0.6
88,464.52,49.0,Bianual,Débito Automático,5.2193,49.0,46.9,1,0.7311,0.9262,0.98
4,424.42,15.0,Mensual,Débito Automático,84.884,22.5,-1.7,0,0.0252,0.8426,0.3
2,374.0,41.0,Anual,Pago Manual,124.6667,41.0,-10.9,1,0.0084,0.7375,0.82
119,259.28,11.0,Mensual,Débito Automático,2.6676,16.5,80.0,1,0.9916,0.4984,0.22
28,229.16,50.0,Bianual,Tarjeta de Crédito,7.9021,50.0,4.6,0,0.2269,0.4357,1.0
1,286.98,28.0,Mensual,Débito Automático,143.49,42.0,-7.7,1,0.0,0.5562,0.56
115,212.86,45.0,Mensual,Pago Manual,1.835,67.5,67.0,0,0.958,0.4017,0.9
61,44.28,11.0,Mensual,Débito Automático,0.7142,16.5,39.4,1,0.5042,0.0504,0.22
107,379.97,42.0,Mensual,Pago Manual,3.5182,63.0,62.3,0,0.8908,0.75,0.84
17,181.69,25.0,Mensual,Débito Automático,10.0939,37.5,4.4,0,0.1345,0.3368,0.5
43,293.2,36.0,Anual,Débito Automático,6.6636,36.0,19.3,1,0.3529,0.5691,0.72
77,326.61,42.0,Mensual,Débito Automático,4.1873,63.0,41.3,1,0.6387,0.6388,0.84
41,387.15,21.0,Mensual,Débito Automático,9.2179,31.5,22.4,1,0.3361,0.7649,0.42
84,259.28,43.0,Anual,Tarjeta de Crédito,1.3524,43.0,45.9,0,0.6975,0.4984,0.86
78,277.11,17.0,Bianual,Débito Automático,3.5077,17.0,49.5,1,0.6471,0.5356,0.34
78,266.57,0.0,Bianual,Tarjeta de Crédito,3.3743,0.0,54.6,0,0.6471,0.5136,0.0
48,88.79,15.0,Mensual,Débito Automático,1.812,22.5,29.1,0,0.395,0.1431,0.3
119,484.25,19.0,Mensual,Tarjeta de Crédito,4.0354,28.5,77.6,1,0.9916,0.9673,0.38
56,25.47,16.0,Bianual,Tarjeta de Crédito,0.4468,16.0,34.4,1,0.4622,0.0112,0.32
24,167.46,19.0,Bianual,Débito Automático,6.6984,19.0,11.1,1,0.1933,0.3071,0.38
23,72.81,26.0,Bianual,Débito Automático,3.0338,26.0,8.3,0,0.1849,0.1098,0.52
17,456.86,5.0,Mensual,Tarjeta de Crédito,25.3811,7.5,10.4,1,0.1345,0.9102,0.1
9,161.16,28.0,Mensual,Débito Automático,16.116,42.0,-2.1,0,0.0672,0.294,0.56
40,127.11,47.0,Bianual,Débito Automático,3.1002,47.0,13.9,0,0.3277,0.223,0.94
112,102.8,33.0,Mensual,Pago Manual,0.9097,49.5,68.5,0,0.9328,0.1723,0.66
62,305.12,28.0,Mensual,Pago Manual,4.8432,42.0,35.0,1,0.5126,0.594,0.56
63,468.9,43.0,Anual,Tarjeta de Crédito,7.3266,43.0,31.2,0,0.521,0.9353,0.86
87,381.9,43.0,Bianual,Pago Manual,4.3398,43.0,48.0,0,0.7227,0.754,0.86
82,152.19,33.0,Bianual,Tarjeta de Crédito,1.8336,33.0,47.5,1,0.6807,0.2753,0.66
85,215.93,13.0,Anual,Débito Automático,2.5108,13.0,55.6,0,0.7059,0.4081,0.26
65,323.77,39.0,Anual,Tarjeta de Crédito,4.9056,39.0,33.8,1,0.5378,0.6328,0.78
67,135.33,16.0,Mensual,Tarjeta de Crédito,1.9901,24.0,42.1,1,0.5546,0.2401,0.32
28,424.36,35.0,Bianual,Débito Automático,14.6331,35.0,9.1,0,0.2269,0.8425,0.7
